GEOID,median_income,family_hh,total_hh,pct_bachelors,pct_vacant,pct_white
42101000101,108438,288,1492,94.84210526315789,6.75,86.42284569138276
42101000102,108203,400,2033,90.24196747322492,10.004426737494466,86.24793388429752
42101000200,97256,685,1742,55.23324186593493,7.488050982474774,45.71954587296717
42101000300,102330,472,2804,82.1661468670258,6.470980653769179,62.29933899905571
42101000401,89663,427,2079,78.68654311039484,11.757215619694398,50.297514875743786
42101000403,187743,249,698,79.82195845697329,13.613861386138614,80.49713193116635
42101000404,93998,445,2163,68.16279954355268,20.507166482910694,79.28952042628775
42101000500,68977,213,1480,50,10.519951632406288,41.03888213851762
42101000600,145036,228,1188,92.33268356075374,23.55212355212355,68.80043033889187
42101000701,90343,263,1512,84.05077262693156,15.246636771300448,79.29841897233202
42101000702,63200,206,1446,83.33333333333333,14.74056603773585,52.38798621368784
42101000801,130096,412,990,94.84451718494272,13.687881429816914,72.96037296037296
42101000803,86538,743,2338,84.49612403100775,10.31837360951285,81.53631284916202
42101000805,90741,384,1896,87.7145438121048,17.92207792207792,75.27866242038216
42101000806,179609,326,1673,84.20074349442379,16.600199401794615,78.65360034086068
42101000901,51384,291,1597,77.51756440281031,14.047362755651237,55.195110484250115
42101000902,85271,538,1367,66.90891472868218,8.684034736138944,68.7177597641857
42101001001,114205,576,1741,81.13808197373658,12.512562814070352,89.98579545454545
42101001002,137250,617,2224,84.73103909121284,13.429349941611521,86.20097337532208
42101001101,61850,743,2539,71.64325383861483,0.7427677873338546,60.690900880559944
42101001102,136310,742,1584,92.81045751633987,7.205623901581722,75.54054054054055
42101001201,119683,744,2094,87.86936236391912,10.855683269476373,84.31658169458606
42101001203,107537,283,1189,90.79178885630499,3.9579967689822295,86.56399362719065
42101001204,94056,644,2048,86.20429702223898,13.183552352691818,85.18411133661931
42101001301,133320,481,783,75.45963229416466,14.891304347826088,62.09813874788494
42101001302,101884,870,1980,86.68974197608559,13.987836663770635,81.46964856230032
42101001400,98981,777,2134,68.01261829652996,13.110749185667752,66.34018155757286
42101001500,108378,551,1486,72.44463373083475,7.066916823014384,73.10868847043277
42101001600,144954,405,1303,84.25487098472881,11.058020477815699,88.75598086124401
42101001700,145833,661,1422,85.91737005775211,9.541984732824428,66.95886716115982
42101001800,121719,718,1700,80.12209080503625,9.042268592830391,73.82039573820396
42101001900,144261,671,1775,84.38818565400844,11.779324055666004,55.91732729331823
42101002000,106420,410,1229,58.83977900552486,7.593984962406015,42.143505903723884
42101002100,116354,483,1033,59.23990498812351,11.406518010291595,46.91943127962085
42101002200,73462,549,1182,56.2596599690881,19.207108680792892,45.87588373919874
42101002300,125781,651,1320,66.55275523280649,4,75.5657592653329
42101002400,84732,1138,2583,67.81705948372615,9.811452513966481,75.50364337762538
42101002500,83508,1148,2063,59.27933673469388,3.2817627754336613,67.16209939619137
42101002701,95224,696,1961,58.100908806016925,5.219913001449976,58.13953488372093
42101002702,99797,1021,1955,61.757990867579906,9.069767441860465,74.21183941936947
42101002801,71027,874,1738,34.271844660194176,7.553191489361702,57.1497005988024
42101002802,94427,1526,2432,56.9300518134715,4.814090019569472,60.07157464212679
42101002900,104981,848,2175,66.96401107351583,5.393649412788169,70.47878938228727
42101003001,55288,903,1692,41.87111547268564,9.32475884244373,34.70209339774557
42101003002,78843,674,1570,63.0062630480167,15.089237425635478,46.0625
42101003100,83620,912,2321,52.721191851626635,15.69197239375227,37.529949901982135
42101003200,68250,783,1719,36.32680621201891,20.416666666666668,27.82676348547718
42101003300,80850,1383,2607,37.47232843630509,19.883220651505837,38.267644362969754
42101003600,43688,1627,2681,19.681722443248304,5.797610681658468,14.129960750109028
42101003701,69896,1138,2255,33.562166285278416,15.85820895522388,24.20837589376915
42101003702,47760,768,1323,31.028738025822573,9.631147540983607,23.092312089168335
42101003800,94538,947,1657,33.023415977961434,4.7701149425287355,90.72675175827038
42101003901,59262,1157,2998,41.88534517561566,8.79221174323091,52.52492762946285
42101003902,87258,1515,2310,36.75193616521943,12.200684150513112,84.46023818670764
42101004001,82258,1030,2105,50.345821325648416,4.187528447883477,76.85769791160757
42101004002,94150,1179,2302,30.21437578814628,6.498781478472786,75.22192203782323
42101004101,72500,1509,2142,43.28598231037255,13.837489943684634,38.276553106212425
42101004103,52083,990,1332,20.666666666666668,5.932203389830509,21.498929336188436
42101004104,62857,891,1324,36.4572605561277,3.4281546316557256,45.759625390218524
42101004201,84500,1094,2080,29.161849710982658,13.621262458471762,59.537953795379536
42101004202,75984,1333,2092,27.552885870984593,6.1041292639138245,63.577586206896555
42101005400,56197,382,740,37.39054290718038,4.1450777202072535,16.113744075829384
42101005500,67063,1546,2789,27.754745799694522,1.3092710544939845,6.210577389616691
42101005600,35474,278,678,18.728323699421967,8.502024291497976,7.548928238583411
42101006000,44199,1405,2589,23.92367906066536,6.3314037626628075,10.011818335303056
42101006100,45521,783,1217,11.235356762513312,2.091713596138375,6.832087015635622
42101006200,48634,1096,1671,16.5814696485623,4.677695379349686,3.8983793254489707
42101006300,32997,990,1696,6.5922190201729105,16.03960396039604,2.26027397260274
42101006400,42469,1063,1584,14.34631700732742,11.508379888268156,5.045974433729536
42101006500,48173,938,1751,17.859577368779824,21.62041181736795,2.9120198265179678
42101006600,27206,603,1450,6.6872427983539096,16.37831603229527,5.2631578947368425
42101006700,43220,1819,3122,9.136345461815274,6.020469596628537,2.4909654104284975
42101007000,41206,760,1492,12.626484821821382,14.104778353483017,1.4835164835164836
42101007101,44286,559,894,7.475943745373797,17.068645640074212,6.029684601113172
